"order","publish","category","cat2","cat3","detail","channel","abstract","videoID","description"
"40","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Game of Thrones","Nota Bene","La religion dans Game of Thrones est-elle crédible ?","7L7bZLjSDcU","On dit souvent que l'univers de Georges R.R. Martin est médiévalement crédible sur bien des aspects...et pourtant ! Ne se serait-il pas planté en beauté sur la religion ? Si le but d'une fiction n'est pas de reconstituer la réalité, ça serait bien trop chiant, nous allons voir dans cet épisode qu'il existe quelques lacunes dans la religion de Game of Thrones et que Martin, peut être conscient de cela, a corrigé le tir en cours de route ! Anciens dieux, nouveaux dieux, foi des septs, grand moineau, foi militante...c'est parti pour les inspirations historiques de la religion dans Game of Thrones !"
"41","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Game of Thrones","Nota Bene","La marche de Cersei est-elle inspirée de faits réels ?","UxpXG7PP__c","S'il y a bien un épisode qui retourne le bide dans la série Game of Thrones, c'est bien celui de la marche de la honte de Cersei ! Condamnée à traverser nue la ville sous les crachats et les projectiles en tout genre du public, on a beau de pas aimer Cersei, on a tout de même de la peine pour elle ! Et si je vous disais que ce châtiment est en fait inspiré de fait réel ? Froid dans le dos hein ? Allez, je vous emmène du côté des inspirations historiques de Game of Thrones !"
"42","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Game of Thrones","Nota Bene","Quelles inspirations historiques pour la Garde de nuit dans Game of Thrones ?","7BCs9rQp0ag","Quand un groupe de voleurs/assassins/désœuvré devient l'un des ordres les plus badass de Game of Thrones, ça intrigue un poil... Et si Georges Martin avait une nouvelle fois puisé dans l'Histoire l'inspiration pour créer la garde de nuit ? Légion étrangère, ordre des templiers...les similitudes sont étonnantes ! Une occasion pour revenir également sur la mort de John Snow et sa référence plus qu'évidente à celle de César !"
"43","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Game of Thrones","Nota Bene","Quelles inspirations historiques pour Khal Drogo dans Game of Thrones ?","go1i3XNa6yM","Quel image du barbare nous renvoie donc Khal Drogo ? Si le parrallèle avec Gengis Khan ou Attila est tentant, est ce qu'on ne serait pas là dans un pur cliché historique ? On revient ensemble sur les inspirations qui ont poussé Georges Martin à imaginer les dothrakis de Game of Thrones !"
"44","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Game of Thrones","Nota Bene","Les fer-nés de Game of Thrones sont-ils inspirés des Vikings ?","WFcT2Wqfwvo","Georges Martin s’est inspiré de bien des choses quand il a créé l’univers de Game of Thrones. Les fer-nés sont ainsi les parfaits représentants de l’imaginaire viking et profitent de la moindre occasion pour sortir leurs bateaux et partir en raid. Une belle occasion de revenir sur ces marins/guerriers et de dégommer quelques clichés au passage !"
"45","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Game of Thrones","Nota Bene","Quelles inspirations historiques pour Brienne dans Game of Thrones ?","VjNLUolHcN4","Quand on jette un oeil à Game of Thrones, on se rend rapidement compte d'un truc : il fait pas bon d'être un mec dans cet univers sans pitié ! Georges Martin a laissé beaucoup de place aux personnages féminins forts et il serait dommage de se priver de faire quelques parrallèles historiques avec des femmes bien badass qui ont réellement existé au Moyen Âge !"
"46","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Cinéma","","Braveheart","Nota Bene","Quelles erreurs historiques commet le film Braveheart ?","J8zAULniiRA","4ème épisode de Motion VS History dédié à BRAVEHEART. Aujourd'hui on ne fait pas dans la finesse et je vais m'attacher à démonter en règle le célèbre film culte ! Préparez vos mouchoirs et découvrons ensemble 25 erreurs historiques toutes plus invraisemblables les unes que les autres !"
"47","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Cinéma","","Star wars","Nota Bene","Quelles inspirations historiques dans Star wars ?","1fYuAZRR3HQ","5ème épisode de Motion VS History dédié à Star Wars. La saga la plus célèbre de toute l'histoire du cinéma se serait-elle inspiré de notre histoire et de nos mythologies ? Quel héros grec n'a rien à envier à Dark Vador ? Quelle planète est inspiré d'une des plus vieilles civilisations de notre histoire ?"
"48","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Cinéma","Sciences humaines / Histoire / XXème siècle / 2ème guerre mondiale","Windtalkers","Nota Bene","De quels évènements s'inspire le film ""Windtalkers"" ?","-LTHKpu6Rrw","6ème épisode de Motion VS History dédié à Windtalkers. Pendant la seconde guerre mondiale, les américains se confrontent aux forces japonaises, notamment sur l'île de Saipan. Les codetalkers navajos jouent dans ce conflit un rôle méconnu mais pourtant très important, permettant aux américains de communiquer en toute sécurité. Entre propagande et hommage à ces hommes qui n'avaient rien et qui ont tout donné, petit retour sur un film très...hollywoodien !"
"49","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Cinéma","","Le dernier Samouraï","Nota Bene","De qui s'inspire le film ""Le dernier Samouraï"" ?","iK_aphLDEUs","7ème épisode de Motion VS History dans lequel on va s'attacher à démêler le vrai du faux dans ""le dernier samouraï"" ! Une belle occasion de revenir sur l'histoire des samouraïs et du japon en traversant les époques, de la période Sengoku à la période Meiji en passant par l'époque Edo."
"50","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Littérature","","Harry Potter","Nota Bene","Quelles inspirations historiques dans Harry Potter ?","BTgQ5t4-7SQ","Et si J.K. Rowling s'était inspirée de l'Histoire et de la Mythologie pour construire son univers ? A travers cet épisode, nous reviendrons sur les parallèles à tisser avec le roi Arthur, la mythologie grecque ou encore les diverses inspirations littéraires. Nous plongerons également au cœur de la 2nd guerre mondiale et vous découvrirez une nouvelle grille de lecture de votre saga préférée !"
"51","yes","Divertissement / Jeux vidéos","Sciences humaines / Histoire / Histoire et fiction","","Kingdom Come Delivrance","Nota Bene","Quels évènements ont inspiré le scénario du jeu Kingdom Come Delivrance ?","AkIpH5DkFWA","Marre de se taper des dragons quand vous avez seulement envie de profiter du paysage pas si paisible du Moyen-Âge ? Aujourd'hui on revient sur le jeu vidéo Kingdom Come Délivrance, un RPG qui se veut au plus près de la réalité historique ! Si un épisode de ma série ARTE Creative a déjà été consacré à ce jeu, je m'attarde ici sur le contexte lié au jeu, à la création du Saint Empire Romain, à la place de la bohème au XIV et XVe siècle, etc."
"52","yes","Divertissement / Jeux vidéos","Sciences humaines / Histoire / Histoire et fiction","","Pokémon","Nota Bene","Quels inspirations dans Pokemon ?","iErj6IJ-Wvw","Derrière la folie Pokémon qui aurait pu imaginer que l'on pourrait aborder des questions aussi complexes que l'évolution, la mythologie japonaise, les jeux du cirque ou encore la domestication des animaux ? Bah...moi je l'ai fais :p Dans cet épisode, découvrez les nombreux parallèles tissés entre l'univers Pokémon et le notre ! Une analyse jusqu'au bout des ongles qui vous laissera, je l'espère, sur votre siège !"
"53","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Cinéma","","Tombeau des Lucioles","Nota Bene","De quel évènement historique s'inspire le film ""Le tombeau des lucioles"" ?","i4oVJWn6yn8","S'il fallait choisir un prix pour le film le plus triste de l'Histoire, nul doute que le tombeau des lucioles serait en bonne place pour remporter le titre. Et pourtant, ce qui rend le film encore plus profond, c'est qu'il s'inscrit dans un contexte historique très dur tout en s'inspirant, en partie, d'une histoire vraie... Je vous propose de revenir ensemble sur cette période tragique du Japon et sur cet anim cher à mon cœur !"
"54","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Cinéma","","The King","Nota Bene","Quelles erreurs commet le film ""The King"" ?","hKnWeXovrpY","Il y a peu sortait sur Netflix le film ""The King"", nous proposant de revivre la bataille d'Azincourt. Un film ""Historique"" qui pourtant semble tout faire pour rabaisser les français et trafiquer l'histoire au profit d'une vision plutôt flatteuse des anglais. Je vous propose aujourd'hui d'analyser tout ça et de voir pourquoi et comment ce frenchbashing est mis en oeuvre...s'il existe vraiment !"
"55","yes","Divertissement / Jeux vidéos","Sciences humaines / Histoire / Histoire et fiction","","Age of Empires","Nota Bene","Quelles inspirations historiques dans le jeu ""Age of Empires II"" ?","WZ78khR3NuA","Vous vous souvenez d’Age of Empires II et de ses campagnes historiques qui nous ont tenu en haleine pendant des heures ? A l’époque, il est clair que ça a pu en intéresser plus d’un à l’Histoire, même si le jeu n’est pas faillible et qu’il y a quelques approximations ! Je vous propose de revenir ensemble sur la véritable histoire de trois protagonistes du jeu, Attila, Le cid et Saladin, et vous allez le voir, il y a matière à dire !"
"56","yes","Sciences humaines / Histoire / Histoire et fiction","Divertissement / Cinéma","","Chevalier","Nota Bene","Quelles erreurs commet le film ""Chevalier"" ?","G6LIp32R_f0","Faire un film médiéval qui ne soit pas un gros cliché sur patte, c’est plutôt compliqué ! Que penser alors d’une comédie qui prend comme époque le Moyen ge ? On l’a vu avec le “Chevalier Black”, c’était pas vraiment réussi. Et dans le film “Chevalier” alors ? On a quand même un casting un peu plus classe qui pourrait nous rassurer sur le traitement du film non ? Aujourd’hui on s’attarde sur un film que j’apprécie beaucoup et qui vous allez le voir, réserve quelques surprises..."
"57","yes","Sciences appliquées / Médecine / Imagerie médicale","","","Invention du scanner","Primum Non Nocere","Présentation de la découverte des rayons X et de la mise au point du scanner","ryFjOvlaExE","All you need is Scan ! Première vidéo de Primum Non Nocere sur le lien entre les Beatles et le scanner à rayon X"
"58","yes","Sciences appliquées / Médecine / Maladies","","","Traitement des ulcères de l'estomac avec des antibiotiques","Primum Non Nocere","Ou comment on a découvert l'intérêt des antibiotiques pour traiter les ulcères de l'estomac","_HA4TvpY21Y","Pour ce deuxième épisode on va essayer de démêler le vrai du faux sur les causes et les traitements de l’ulcère de l'estomac. Alors comme ça, ça n'a pas l'air Funky mais on va essayer de vous prouver le contraire."
"59","yes","Sciences appliquées / Médecine / Physiologie","","","Fonctionnement du nez","Primum Non Nocere","Ou pourquoi le nez coule lorsqu'il fait froid","wjTqsZRDV4E","Quel lien peut-il y avoir entre un filtre à particule, un escalator, de la nanotechnologie et le nez qui coule ?"
"60","yes","Sciences appliquées / Médecine / Physiologie","","","Fonctionnement de l'oreille","Primum Non Nocere","Ou pourquoi les oreilles se bouchent dans l'avion","lDIQQtT2ybA","Avec un peu de retard, le nouvel épisode de Primum Non Nocere est de sortie. Aujourd'hui, nous nous intéressons à nos oreilles et à ce qui leur arrive quand on est en avion. Aéronautique, Physique, Médecine, il y un peu de tout ça dans notre explication du jour."
"61","yes","Sciences appliquées / Médecine / Physiologie","","","Foncitonnement de la douleur et du toucher","Primum Non Nocere","Ou pourquoi le bisou magique marche","EjkWn3DmEsw","Est ce que les bisous magiques des mamans sont vraiment magiques ? Est ce que se frotter quand on a mal à un réel intérêt ? Pour ce 5ème épisode, on va commencer à rentrer dans la neurologie. Aujourd'hui une question des plus importantes s'il en ai, le bisou qui guérit tout."
